fpid,name,position,team,bye,ffc_adp,fp_pts,wwo_pts,blend_pts,source,diff,wwo_7d_delta,ciely_pts
13981,Stefon Diggs,WR,WAS,7,94.4,132.7,148.0,144.7,blendWC,15.3,-2.5,167.6
27316,Jacory Croskey-Merritt,RB,WAS,7,103.0,141.2,139.6,144.6,blendWC,-1.6,0.0,152.9
16406,Chris Godwin Jr.,WR,TB,10,76.6,141.8,144.7,144.4,blendWC,2.8,0.0,149.4
15756,Ka'imi Fairbairn,K,HOU,8,137.6,144.1,,144.1,fp_only,,,
23019,Xavier Worthy,WR,KC,5,100.2,140.1,142.4,144.0,blendWC,2.3,0.0,152.4
23781,Isaiah Likely,TE,NYG,8,136.0,133.7,138.9,143.5,blendWC,5.1,0.0,164.6
23901,Cameron Dicker,K,LAC,7,141.2,142.7,,142.7,fp_only,,,
23891,Rachaad White,RB,WAS,7,119.4,143.4,131.0,142.4,blendWC,-12.4,0.0,144.1
27131,Kyle Monangai,RB,CHI,10,101.7,144.8,168.7,142.3,blendWC,23.9,0.0,128.5
22985,Wan'Dale Robinson,WR,TEN,9,93.2,139.1,141.4,141.6,blendWC,2.3,-2.5,146.7
18598,Jakobi Meyers,WR,JAC,7,87.4,144.6,151.0,141.5,blendWC,6.4,0.0,132.4
22969,Jordan Mason,RB,MIN,6,113.8,138.0,152.0,141.0,blendWC,14.1,0.0,143.3
25333,Michael Wilson,WR,ARI,14,74.6,144.2,145.8,140.9,blendWC,1.6,0.0,132.8
26403,Jalen Coker,WR,CAR,5,117.8,127.4,149.5,139.3,blendWC,22.1,0.0,159.8
16673,Aaron Jones Sr.,RB,MIN,6,111.6,140.8,131.2,137.3,blendWC,-9.7,0.0,132.4
17269,Mark Andrews,TE,BAL,13,125.5,137.4,132.1,137.3,blendWC,-5.3,0.0,138.9
25247,Dalton Kincaid,TE,BUF,7,147.1,131.6,119.8,137.0,blendWC,-11.9,0.0,153.5
k-harrison-mevis,Harrison Mevis,K,LAR,11,149.3,136.9,,136.9,fp_only_csv_fpdefault,,,
26075,Jake Bates,K,DET,6,145.0,135.9,,135.9,fp_only,,,
23794,Romeo Doubs,WR,NE,11,105.2,135.2,132.5,135.7,blendWC,-2.7,0.0,137.9
26024,Matthew Golden,WR,GB,11,102.1,132.5,141.9,135.7,blendWC,9.4,0.0,139.9
22718,Jake Ferguson,TE,DAL,14,137.2,130.5,120.6,135.6,blendWC,-9.9,-2.0,150.9
23013,Blake Corum,RB,LAR,11,120.7,132.6,141.0,135.1,blendWC,8.4,0.0,138.1
18244,Deebo Samuel Sr.,WR,SF,8,102.3,134.8,142.0,135.1,blendWC,7.2,-11.5,133.4
16398,Deshaun Watson,QB,CLE,,,135.2,144.6,134.2,blendWC,9.4,33.0,128.7
25420,Makai Lemon,WR,PHI,10,119.2,124.5,152.3,133.9,blendWC,27.9,0.0,146.6
27331,KC Concepcion,WR,CLE,11,117.3,137.9,128.0,133.7,blendWC,-10.0,0.0,127.2
25533,Blake Grupe,K,FA,0,159.0,133.4,,133.4,fp_only,,,
13731,Cairo Santos,K,CHI,10,184.6,133.3,,133.3,fp_only,,,
24706,Josh Downs,WR,IND,13,94.1,129.3,151.0,133.1,blendWC,21.7,2.1,134.7
19058,Chase McLaughlin,K,TB,10,146.6,132.9,,132.9,fp_only,,,
17575,Eddy Pineiro,K,SF,,,132.6,,132.6,fp_only_csv_fpdefault,,,
24687,Rashid Shaheed,WR,SEA,11,118.6,131.8,117.2,132.3,blendWC,-14.7,0.0,138.2
k-tyler-loop,Tyler Loop,K,BAL,13,150.0,132.1,,132.1,fp_only_csv_fpdefault,,,
16712,Harrison Butker,K,KC,5,169.4,131.9,,131.9,fp_only,,,
26475,Cam Little,K,JAC,7,149.0,131.5,,131.5,fp_only,,,
26341,Will Reichard,K,MIN,6,158.1,130.7,,130.7,fp_only,,,
19562,Juwan Johnson,TE,NO,8,158.7,122.4,123.1,130.4,blendWC,0.7,0.0,148.9
23748,Khalil Shakir,WR,BUF,7,110.1,130.1,148.7,130.4,blendWC,18.6,0.0,124.9
15561,Hunter Henry,TE,NE,11,161.9,125.2,133.6,129.1,blendWC,8.4,0.0,135.4
23297,Evan McPherson,K,CIN,6,173.0,128.7,,128.7,fp_only,,,
9491,Nick Folk,K,ATL,,,128.6,,128.6,fp_only_csv_fpdefault,,,
16026,Wil Lutz,K,DEN,10,163.6,128.5,,128.5,fp_only,,,
22973,Michael Penix Jr.,QB,ATL,,,119.0,151.1,128.0,blendWC,32.1,34.8,138.2
k-trey-smack,Trey Smack,K,GB,11,162.5,126.9,,126.9,fp_only_csv_fpdefault,,,
17349,Dalton Schultz,TE,HOU,8,178.5,115.4,130.7,126.3,blendWC,15.3,11.7,146.4
19760,Tyler Bass,K,BUF,7,140.6,123.6,,123.6,fp_only,,,
28138,De'Zhaun Stribling,WR,SF,8,127.6,133.5,123.1,123.3,blendWC,-10.3,0.0,103.1
k-charlie-smyth,Charlie Smyth,K,NO,,,123.0,,123.0,fp_only_csv_fpdefault,,,
25345,Brenton Strange,TE,JAC,7,168.1,121.7,142.4,121.3,blendWC,20.6,0.0,113.4
23118,MarShawn Lloyd,RB,GB,11,154.1,97.1,57.0,120.2,blendWC,-40.2,0.0,187.5
